s.no ,date,open,high,low,close,doji ,type,fun1,bearish,bull,body 1,body2,body3,label
1,08/26/2019,59.07,60.15,58.8,58.8,1,inverted hammer,-0.27,ok,no,1.08,0.27,-0.27,2
2,08/21/2019,60.07,61.4,60.03,60.35,1,shooting star,0.28,not,yes,1.05,0.28,0.04,4
3,08/20/2019,59.75,60.29,58.92,60.07,1,hammer,0.32,not,yes,0.22,0.32,0.83,1
4,08/16/2019,58.34,59.48,58.26,58.53,1,inverted hammer,0.19,not,yes,0.95,0.19,0.08,2
5,08-12-19,58.26,58.86,57.86,58.42,1,neutral,0.16,not,yes,0.44,0.16,0.4,5
6,08-08-19,57.34,57.99,56.75,57.72,1,hammer,0.38,not,yes,0.27,0.38,0.59,1
7,08-02-19,61.06,62.92,60.96,61.27,1,shooting star,0.21,not,yes,1.65,0.21,0.1,4
9,07/26/2019,63.08,63.93,62.99,63.3,1,inverted hammer,0.22,not,yes,0.63,0.22,0.09,2
10,07/25/2019,63.13,64.21,62.99,63.08,1,gravestone ,-0.05,ok,no,1.08,0.05,0.09,6
12,07-12-19,66.69,67.26,66.51,66.84,1,shooting star,0.15,not,yes,0.42,0.15,0.18,4
13,07-11-19,66.57,67.63,66.41,66.69,1,gravestone ,0.12,not,yes,0.94,0.12,0.16,6
14,07-01-19,64.37,66.72,64.21,65.19,1,shooting star,0.82,not,yes,1.53,0.82,0.16,4
15,06/19/2019,62.23,62.53,61.38,62.2,1,longlegged,-0.03,ok,no,0.3,0.03,0.82,8
16,05/29/2019,70.09,70.09,68.05,69.66,1,shooting star,-0.43,ok,no,0,0.43,1.61,4
17,05/21/2019,72.03,72.5,71.6,72.01,1,neutral,-0.02,ok,no,0.47,0.02,0.41,5
18,05/22/2019,72.04,73.39,71.58,72.03,1,gravestone ,-0.01,ok,no,1.35,0.01,0.45,6
19,05/13/2019,70.71,72.56,69.69,69.9,1,inverted hammer,-0.81,ok,no,1.85,0.81,0.21,2
20,05-09-19,70.22,70.62,69.38,70.21,1,longlegged,-0.01,ok,no,0.4,0.01,0.83,8
21,05-06-19,70.82,71.78,68.82,71.36,1,hanging man,0.54,not,yes,0.42,0.54,2,4
22,04/25/2019,74.51,75.58,73.97,74.28,1,shooting star,-0.23,ok,no,1.07,0.23,0.31,3
23,04/23/2019,74.32,74.7,74,74.35,1,neutral,0.03,not,yes,0.35,0.03,0.32,5
24,04-03-19,69.43,69.94,68.78,69.44,1,longlegged,0.01,not,yes,0.5,0.01,0.65,8
25,03/28/2019,67.8,67.97,66.51,67.96,1,hanging man,0.16,not,yes,0.01,0.16,1.29,3
26,03/15/2019,67.16,67.69,66.11,66.99,1,longlegged,-0.17,ok,no,0.53,0.17,0.88,8
27,03-12-19,66.74,67.38,66.38,66.79,1,neutral,0.05,not,yes,0.59,0.05,0.36,5
28,03-08-19,65.98,66.08,64.04,65.66,1,hammer,-0.32,ok,no,0.1,0.32,1.62,1
29,03-07-19,65.89,66.98,65.78,66,1,gravestone ,0.11,not,yes,0.98,0.11,0.11,6
30,03-05-19,65.61,66.2,65.06,65.62,1,longlegged,0.01,not,yes,0.58,0.01,0.55,8
31,02/22/2019,66.93,67.7,66.88,66.9,1,gravestone ,-0.03,ok,no,0.77,0.03,0.02,6
32,02/19/2019,66.43,66.62,65.6,66.43,1,longlegged,0,not,no,0.19,0,0.83,8
33,01/17/2019,61.29,61.51,60.6,61.14,1,hammer,-0.15,ok,no,0.22,0.15,0.54,1
34,01-10-19,61.34,61.93,60.53,61.28,1,longlegged,-0.06,ok,no,0.59,0.06,0.75,8
35,01-07-19,57.45,58.98,57.37,57.68,1,inverted hammer,0.23,not,yes,1.3,0.23,0.08,2
36,12/17/2018,60.27,60.27,60.27,60.27,1,four face,0,not,no,0,0,0,9
37,12-12-18,60.48,61.4,60.02,60.21,1,inverted hammer,-0.27,ok,no,0.91,0.27,0.19,2
38,12-05-18,61.34,63.26,60.83,61.6,1,shooting star,0.26,not,yes,1.66,0.26,0.51,4
39,12-04-18,61.82,63.55,61.29,61.34,1,inverted hammer,-0.48,ok,no,1.73,0.48,0.05,2
40,11/27/2018,60.53,61.37,58.94,60.81,1,hanging man,0.28,not,yes,0.56,0.28,1.59,3
41,11/19/2018,66.99,67.61,65.31,66.91,1,longlegged,-0.08,ok,no,0.62,0.08,1.6,8
42,11/16/2018,66.64,68.35,66.13,67,1,shooting star,0.36,not,yes,1.35,0.36,0.51,4
43,11/14/2018,65.22,67.6,65.05,65.85,1,inverted hammer,0.63,not,yes,1.75,0.63,0.17,2
44,11-12-18,69.62,71.84,68.9,69.04,1,shooting star,-0.58,ok,no,2.22,0.58,0.14,4
45,11-07-18,71.69,73.53,71.39,71.97,1,shooting star,0.28,not,yes,1.56,0.28,0.3,4
46,11-05-18,72.68,74.1,72.29,72.65,1,gravestone ,-0.03,ok,no,1.42,0.03,0.36,8
47,10/24/2018,76.15,77.54,75.14,75.64,1,inverted hammer,-0.51,ok,no,1.39,0.51,0.5,2
48,10/22/2018,80.02,80.38,79.02,79.96,1,neutral,-0.06,ok,no,0.36,0.06,0.94,5
49,10-08-18,83.99,84.3,82.69,83.75,1,hammer,-0.24,ok,no,0.31,0.24,1.06,1
50,09/27/2018,81.66,82.41,81.27,81.28,1,inverted hammer,-0.38,ok,no,0.75,0.38,0.01,2
51,09/25/2018,81.37,82.52,81.2,81.47,1,gravestone ,0.1,not,yes,1.05,0.1,0.17,6
52,09/21/2018,78.64,80.1,78.26,78.67,1,gravestone ,0.03,not,yes,1.43,0.03,0.38,6
53,09/17/2018,78.05,78.87,77.75,77.94,1,gravestone ,-0.11,ok,no,0.82,0.11,0.19,6
54,09-12-18,79.47,80.09,78.78,79.68,1,hanging man,0.21,not,yes,0.41,0.21,0.69,3
55,09-04-18,78.16,79.7,77.49,77.85,1,shooting star,-0.31,ok,no,1.54,0.31,0.36,4
56,08/31/2018,77.72,78.2,77.28,77.66,1,neutral,-0.06,ok,no,0.48,0.06,0.38,5
57,08/23/2018,74.86,74.86,74.24,74.7,1,dragonfly,-0.16,ok,no,0,0.16,0.46,7
58,08/13/2018,72.93,73.07,71.07,72.8,1,hanging man,-0.13,ok,no,0.14,0.13,1.73,3
59,08-09-18,60.91,61.22,58.5,59.06,1,inverted hammer,-1.85,ok,no,0.31,1.85,0.56,2
60,08-03-18,73.38,73.71,72.51,73.33,1,hammer,-0.05,ok,no,0.33,0.05,0.82,1
61,07/23/2018,72.97,74.47,72.55,72.89,1,gravestone ,-0.08,ok,no,1.5,0.08,0.34,6
62,07/17/2018,71.79,72.75,71.4,71.56,1,inverted hammer,-0.23,ok,no,0.96,0.23,0.16,2
63,06/28/2018,77.25,78.38,77.14,77.44,1,inverted hammer,0.19,not,yes,0.94,0.19,0.11,2
64,05/31/2018,77.84,79.16,76.99,77.58,1,shooting star,-0.26,ok,no,1.32,0.26,0.59,4
65,05/23/2018,79.41,79.81,78.24,79.64,1,hanging man,0.23,not,yes,0.17,0.23,1.17,3
66,05/22/2018,79.4,80.45,79.19,79.41,1,gravestone ,0.01,not,yes,1.04,0.01,0.21,6
67,05-08-18,75.5,76.15,73.16,75.94,1,hammer,0.44,not,yes,0.21,0.44,2.34,1
68,05-02-18,73.33,73.6,72.41,73.05,1,hammer,-0.28,ok,no,0.27,0.28,0.64,1
69,04/25/2018,73.85,74.16,73.2,74.04,1,hammer,0.19,not,yes,0.12,0.19,0.65,1
70,04/20/2018,73.57,74.17,72.86,73.61,1,longlegged,0.04,not,yes,0.56,0.04,0.71,8
71,04/19/2018,73.74,74.72,73.49,73.57,1,shooting star,-0.17,ok,no,0.98,0.17,0.08,4
72,04-07-18,71.61,71.86,70.86,71.67,1,dragonfly,0.06,not,yes,0.19,0.06,0.75,7
73,04-04-18,68.14,68.25,66.72,68.25,1,dragonfly,0.11,not,yes,0,0.11,1.42,7
74,03/30/2018,69.33,69.33,69.33,69.33,1,four face,0,not,no,0,0,0,9
75,03/28/2018,69.55,70.23,68.8,69.56,1,longlegged,0.01,not,yes,0.67,0.01,0.75,8
76,03/19/2018,66.1,66.37,65.42,66.09,1,neutral,-0.01,ok,no,0.27,0.01,0.67,5
77,03-06-18,65.56,66.13,65.33,65.55,1,neutral,-0.01,ok,no,0.57,0.01,0.22,5
78,02/21/2018,65.05,65.5,64.43,65.09,1,neutral,0.04,not,yes,0.41,0.04,0.62,5
79,02/15/2018,64.38,65.12,63.16,64.48,1,longlegged,0.1,not,yes,0.64,0.1,1.22,8
80,02/13/2018,62.68,63.07,61.8,62.54,1,neutral,-0.14,ok,no,0.39,0.14,0.74,5
81,02-12-18,62.58,64.34,62.58,62.68,1,gravestone ,0.1,not,yes,1.66,0.1,0,6
82,01/17/2018,69.3,69.56,68.58,69.41,1,shooting star,0.11,not,yes,0.15,0.11,0.72,4
83,01-11-18,69.08,70,69.02,69.11,1,gravestone ,0.03,not,yes,0.89,0.03,0.06,6
84,01-04-18,67.97,68.25,67.66,67.96,1,neutral,-0.01,ok,no,0.28,0.01,0.3,5
85,01-02-18,66.6,67.26,66.27,66.47,1,inverted hammer,-0.13,ok,no,0.66,0.13,0.2,2
86,11/30/2017,62.65,63.34,62.19,62.7,1,longlegged,0.05,not,yes,0.64,0.05,0.46,8
87,11/27/2017,63.71,63.96,63.14,63.71,1,longlegged,0,not,no,0.25,0,0.57,8
88,11-08-17,63.52,64.62,62.98,63.47,1,longlegged,-0.05,ok,no,1.1,0.05,0.49,8
89,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,
